periodo_mes	mes	ano	decada	meta_acumulada_mes	selic_acumulada_mes	ipca_mes
2023-02	FEV	2023	2020	0.9244819773114976	0.9181419020249493	0.84
2023-03	MAR	2023	2020	1.1827959342119332	1.1746740629071883	0.71
2023-04	ABR	2023	2020	0.9244819773114976	0.9181419020249493	0.61
2023-05	MAI	2023	2020	1.1310803050018636	1.1233155156776142	0.23
2023-06	JUN	2023	2020	1.0793911082132235	1.0719830392053487	-0.08
2023-07	JUL	2023	2020	1.0793911082132235	1.0719830392053487	0.12
2023-08	AGO	2023	2020	1.1456577589859407	1.137506127561272	0.23
2023-09	SET	2023	2020	0.9800002492777571	0.9729097466352421	0.26
2023-10	OUT	2023	2020	1.0050402122424806	0.9975719105091096	0.24
2023-11	NOV	2023	2020	0.9231281450498008	0.91599114624481	0.28
2023-12	DEZ	2023	2020	0.9016835876658469	0.8945289517257704	0.56
2024-01	JAN	2024	2020	0.9745871368498804	0.966695554178254	0.42
2024-02	FEV	2024	2020	0.8070427318263906	0.8002079531857165	0.83
2024-03	MAR	2024	2020	0.8388830482718435	0.8316765335023124	0.16
2024-04	ABR	2024	2020	0.8953795580621593	0.8874229365012143	0.38
2024-05	MAI	2024	2020	0.8400370381510314	0.832433143334943	0.46
2024-06	JUN	2024	2020	0.795571276413165	0.7883287579383946	0.21
2024-07	JUL	2024	2020	0.9154516471253871	0.907112889915096	0.38
2024-08	AGO	2024	2020	0.8754756898431859	0.8675026326099511	-0.02
2024-09	SET	2024	2020	0.8427500173395108	0.8351483724293951	0.44
2024-10	OUT	2024	2020	0.9362685762101419	0.927946933866286	0.56
2024-11	NOV	2024	2020	0.7998352665465891	0.7929944781606135	0.39
2024-12	DEZ	2024	2020	0.9389587162848656	0.9314363610305021	0.52
2025-01	JAN	2025	2020	1.021059330288554	1.0132056099446451	0.16
2025-02	FEV	2025	2020	0.9924125367691827	0.9853321565689299	1.31
